Course,Course Title,Course Type,Instructor,Start Date,End Date,Days,Start Time,End Time,Location,Room Type,Actual Enroll
,,,,,,TR,1:15 PM,2:30 PM,,,15
,,,,,,TR,2:45 PM,4:00 PM,,,11
,,,,,,MW,11:00 AM,12:15 PM,,,18
,,,,,,MW,1:15 PM,2:30 PM,,,21
,,,,,,TR,2:45 PM,4:00 PM,,,26
,,,,,,W,7:00 PM,9:50 PM,,,21
,,,,,,M,1:15 PM,4:00 PM,,,12
,,,,,,W,1:15 PM,4:00 PM,,,14
,,,,,,TR,1:15 PM,2:30 PM,,,6
,,,,,,TR,2:45 PM,4:00 PM,,,2
,,,,,,MTWR,9:00 AM,9:50 AM,,,18
,,,,,,MTWR,9:00 AM,9:50 AM,,,18
,,,,,,MTWR,10:00 AM,10:50 AM,,,19
,,,,,,MTWR,10:00 AM,10:50 AM,,,17
,,,,,,MTWR,1:15 PM,2:05 PM,,,16
,,,,,,MTWR,9:00 AM,9:50 AM,,,17
,,,,,,MW,11:00 AM,12:15 PM,,,13
,,,,,,MW,1:15 PM,2:30 PM,,,14
,,,,,,TR,1:15 PM,2:30 PM,,,13
,,,,,,TR,9:35 AM,10:50 AM,,,15
,,,,,,MW,11:00 AM,12:15 PM,,,8
,,,,,,MW,1:15 PM,2:30 PM,,,14
,,,,,,TR,1:15 PM,2:30 PM,,,10
,,,,,,MW,2:45 PM,4:00 PM,,,8
,,,,,,MW,11:00 AM,12:15 PM,,,15
,,,,,,W,7:00 PM,9:50 PM,,,5
